uuid,_source,_target,type,name,desc,access_type,influence_strength
CxnDef.3yTd-7dv6nT-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-0f093e72-2b43-11ec-3ecc-0050568bdf9a,Association,,,,
CxnDef.-ud8yLcO9Ut-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-sIvcy8QOn9-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-ca860868-17af-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.1WzkyQPwmH-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-ca86086f-17af-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-1G0eXMzwHdH-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-77KHTu87laj-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-b03da277-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.4fKsEdAWPyj-q-L,id-db672228-1640-11ec-4d13-0050568b5c9f,id-db672225-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.4Dfct-f0FBv-q-L,id-db672228-1640-11ec-4d13-0050568b5c9f,id-ec467dd2-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.3es_xzQfFxK-q-L,id-db672228-1640-11ec-4d13-0050568b5c9f,id-db672223-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.Hc8HOv8XUd-q-L,id-a2683afe-962c-11ec-0ac0-0050568b2437,id-c90c9b11-0946-11ec-67f4-0050568bd415,Serving,,,,
CxnDef.oxvj1U5ZCe-q-L,id-ec467db8-2b30-11ec-3eca-0050568bdf9a,id-f5bafa8a-992a-11eb-32fd-0050568bdf9a,Serving,,,,
CxnDef.-xPXJpBGq8a-q-L,id-ec467db8-2b30-11ec-3eca-0050568bdf9a,id-b63ac287-acbe-11eb-32fd-0050568bdf9a,Serving,,,,
CxnDef.-7bBSzqexnNT-q-L,id-a2683b0c-962c-11ec-0ac0-0050568b2437,id-a2683af6-962c-11ec-0ac0-0050568b2437,Serving,,,,
